Storage modulus,Loss modulus,Step time
0.447555,0.0265271,27.041
0.447076,0.026843,27.091
0.446597,0.027347,27.141
0.445998,0.0271733,27.191
0.445538,0.027336,27.241
0.445466,0.0273644,27.291
0.445251,0.027691,27.341
0.444385,0.0281396,27.391
0.443689,0.028663,27.441
0.443685,0.0280769,27.491
0.443482,0.0284249,27.541
0.4433,0.0282348,27.591
0.443346,0.0280331,27.641
0.443326,0.0280533,27.691
0.443347,0.0281914,27.741
0.443472,0.0278757,27.791
0.443464,0.0278307,27.841
0.443481,0.0277113,27.891
0.443484,0.0275889,27.941
0.443427,0.0276081,27.991
0.443406,0.027602,28.041
0.443336,0.0273644,28.091
0.443284,0.0274554,28.141
0.443264,0.0272224,28.191
0.443286,0.0271825,28.241
0.443216,0.0274095,28.291
0.443125,0.027358,28.341
0.443102,0.0272594,28.391
0.443012,0.0271403,28.441
0.443,0.027094,28.491
0.443002,0.0269955,28.541
0.443043,0.0268815,28.591
0.443108,0.0269948,28.641
0.443113,0.0268545,28.691
0.443039,0.0268903,28.741
0.443024,0.0269549,28.791
0.442913,0.026915,28.841
0.442855,0.0269435,28.891
0.442844,0.0269694,28.941
0.442752,0.0269999,28.991
0.44264,0.027036,29.041
0.442547,0.0269313,29.091
0.442452,0.0269259,29.141
0.442471,0.0268423,29.191
0.442456,0.0267164,29.241
0.442416,0.0268093,29.291
0.4424,0.0268573,29.341
0.442445,0.0266725,29.391
0.442425,0.0267499,29.441
0.442359,0.0267266,29.491
0.44227,0.0264628,29.541
0.442228,0.0265025,29.591
0.442211,0.0265865,29.641
0.442155,0.0264056,29.69
0.442106,0.0264503,29.74
0.442055,0.0263391,29.79
0.441993,0.0263757,29.84
0.441974,0.0263446,29.89
0.441942,0.026303,29.94
0.441915,0.0262721,29.99
0.441856,0.0262692,30.04
0.441834,0.0261145,30.09
0.441803,0.0262085,30.14
0.441785,0.0261742,30.19
0.441754,0.0262557,30.24
0.441673,0.0261271,30.29
0.441638,0.0262155,30.34
0.441576,0.0260378,30.39
0.441568,0.026056,30.44
0.441553,0.0260835,30.49
0.441498,0.0259788,30.54
0.44146,0.025971,30.59
0.441406,0.0261086,30.64
0.441347,0.02606,30.69
0.441317,0.0259596,30.74
0.441271,0.0259024,30.79
0.441258,0.0258799,30.84
0.441217,0.0259323,30.89
0.441205,0.0259827,30.94
0.441197,0.0260078,30.99
0.441163,0.0260521,31.04
0.441172,0.0260802,31.09
0.441091,0.0260495,31.14
0.44078,0.0259111,31.19
0.44073,0.0260181,31.24
0.440919,0.0260275,31.29
0.440914,0.0259742,31.34
0.440915,0.0259492,31.39
0.440939,0.0259811,31.44
0.44092,0.0260494,31.49
0.440857,0.0259652,31.54
0.440843,0.0260092,31.59
0.440864,0.0260232,31.64
0.440776,0.0260051,31.69
0.440689,0.026194,31.74
0.440647,0.0260706,31.79
0.440536,0.0261037,31.84
0.440562,0.026094,31.89
0.440467,0.0260899,31.94
0.440392,0.0261877,31.99
0.440388,0.026129,32.04
0.440417,0.0260539,32.09
0.440215,0.0261447,32.14
0.440057,0.0261614,32.19
0.440049,0.0261075,32.24
0.439947,0.0262312,32.29
0.439843,0.0262683,32.34
0.439755,0.0261209,32.39
0.439736,0.0261643,32.44
0.439712,0.0262926,32.49
0.439628,0.0260898,32.54
0.43958,0.0260479,32.59
0.439381,0.0263433,32.64
0.43916,0.0262875,32.69
0.439175,0.0262048,32.74
0.439178,0.0261116,32.79
0.439127,0.0262806,32.839
0.43893,0.0262098,32.889
0.438875,0.0262366,32.939
0.438861,0.0261908,32.989
0.438697,0.0262864,33.039
0.438471,0.0264167,33.089
0.438284,0.0262755,33.139
0.438204,0.0262214,33.189
0.438042,0.0264061,33.239
0.437866,0.0263286,33.289
0.43779,0.0262494,33.339
0.437701,0.0261582,33.389
0.437668,0.0261783,33.439
0.437602,0.0261219,33.489
0.437562,0.0263019,33.539
0.437542,0.0261702,33.589
0.437526,0.0262528,33.639
0.437547,0.026198,33.689
0.437474,0.0260316,33.739
0.43748,0.0260994,33.789
0.437404,0.0262439,33.839
0.43734,0.0263311,33.889
0.43713,0.0264026,33.939
0.436917,0.0264451,33.989
0.436894,0.0262981,34.039
0.436837,0.026329,34.089
0.436695,0.0263112,34.139
0.43662,0.0265328,34.189
0.436443,0.0265554,34.239
0.436221,0.0265338,34.289
0.436061,0.026508,34.339
0.43596,0.0265832,34.389
0.435771,0.0265577,34.439
0.435636,0.026516,34.489
0.43561,0.0265764,34.539
0.43555,0.0267525,34.589
0.43547,0.0266503,34.639
0.435441,0.0266076,34.689
0.435467,0.0267397,34.739
0.435458,0.0268747,34.789
0.43543,0.0266113,34.839
0.435408,0.0266852,34.889
0.435375,0.0268206,34.939
0.435319,0.0266239,34.989
0.435315,0.0266372,35.039
0.435241,0.0266714,35.089
0.435161,0.0266758,35.139
0.435144,0.0265435,35.189
0.435101,0.0265782,35.239
0.43501,0.0266486,35.289
0.434958,0.0266083,35.339
0.43494,0.0266747,35.389
0.434884,0.0266005,35.439
0.434818,0.0266025,35.489
0.434722,0.0266459,35.539
0.434578,0.0266651,35.589
0.434494,0.0267601,35.639
0.43433,0.026664,35.689
0.434282,0.0268087,35.739
0.434222,0.0267647,35.789
0.434124,0.0266902,35.839
0.434043,0.0266606,35.889
0.433983,0.0267014,35.938
0.433919,0.0267535,35.988
0.43384,0.0267093,36.038
0.433784,0.026589,36.088
0.433725,0.026611,36.138
0.43368,0.0265957,36.188
0.433609,0.0264387,36.238
0.433598,0.0264901,36.288
0.433503,0.0266557,36.338
0.43335,0.0265566,36.388
0.433309,0.0264872,36.438
0.433274,0.0265276,36.488
0.433199,0.0264407,36.538
0.433161,0.0264748,36.588
0.433119,0.0263755,36.638
0.433082,0.0263733,36.688
0.433042,0.0264387,36.738
0.432952,0.0264094,36.788
0.432877,0.0263521,36.838
0.432876,0.0264056,36.888
0.432791,0.0262915,36.938
0.432732,0.0262523,36.988
0.432721,0.0262073,37.038
0.432677,0.0262626,37.088
0.432633,0.0262054,37.138
0.432597,0.0262636,37.188
0.432535,0.0262977,37.238
0.432521,0.0262327,37.288
0.432462,0.0261963,37.338
0.432423,0.0261791,37.388
0.432355,0.0260763,37.438
0.432325,0.0260971,37.488
0.432304,0.0260846,37.538
0.432294,0.0261346,37.588
0.432248,0.0261613,37.638
0.432164,0.0260459,37.688
0.432117,0.0260447,37.738
0.432082,0.0260339,37.788
0.432074,0.0260963,37.838
0.431984,0.0259051,37.888
0.431935,0.0258978,37.938
0.431891,0.0260281,37.988
0.431673,0.0260418,38.038
0.431513,0.0260677,38.088
0.431434,0.026151,38.138
0.431148,0.0261433,38.188
0.430724,0.0263555,38.238
0.430333,0.0264798,38.288
0.430119,0.0262565,38.338
0.430037,0.0261296,38.388
0.430021,0.0262173,38.438
0.429981,0.0261041,38.488
0.429954,0.0262135,38.538
0.429916,0.0261297,38.588
0.429871,0.0264079,38.638
0.429755,0.0265338,38.688
0.429534,0.0264046,38.738
0.429347,0.026266,38.788
0.429292,0.0262306,38.838
0.429267,0.0262483,38.888
0.429227,0.026258,38.938
0.429178,0.0262853,38.988
0.429102,0.0261846,39.038
0.428996,0.0262602,39.087
0.428964,0.0262981,39.137
0.428952,0.026177,39.187
0.428887,0.0261671,39.237
0.428898,0.0262534,39.287
0.428902,0.0261106,39.337
0.428847,0.0261099,39.387
0.428787,0.0261817,39.437
0.428782,0.0261261,39.487
0.428758,0.026161,39.537
0.428716,0.0262021,39.587
0.428686,0.0260465,39.637
0.4287,0.0260353,39.687
0.428698,0.0262007,39.737
0.428643,0.0261589,39.787
0.428583,0.0260047,39.837
0.428592,0.0261387,39.887
0.428554,0.0260819,39.937
0.428506,0.0261099,39.987
0.428499,0.0261575,40.037
0.428482,0.0260201,40.087
0.428465,0.0260271,40.137
0.428468,0.025948,40.187
0.42845,0.0259069,40.237
0.428467,0.0260197,40.287
0.428441,0.025991,40.337
0.428379,0.0258834,40.387
0.42833,0.025925,40.437
0.428308,0.0259504,40.487
0.428292,0.025892,40.537
0.428261,0.025743,40.587
0.42823,0.0257712,40.637
0.428238,0.0258238,40.687
0.428227,0.0258697,40.737
0.42817,0.0258264,40.787
0.427845,0.0260523,40.837
0.427646,0.0261695,40.887
0.427706,0.025919,40.937
0.427635,0.02587,40.987
0.427646,0.0260045,41.037
0.427616,0.0258437,41.087
0.42761,0.0258222,41.137
0.427601,0.0258396,41.187
0.427555,0.0259372,41.237
0.427525,0.0258783,41.287
0.427461,0.0258287,41.337
0.427342,0.0258371,41.387
0.427234,0.0259498,41.437
0.427165,0.025937,41.487
0.427112,0.0257969,41.537
0.427068,0.0258683,41.587
0.426937,0.0260659,41.637
0.426841,0.026164,41.687
0.426519,0.0261266,41.737
0.426157,0.0259983,41.787
0.426142,0.0260688,41.837
0.426056,0.026079,41.887
0.425949,0.0259728,41.937
0.425829,0.0261443,41.987
